,Place,Term,Suffix,First_Letter,First_Two_Letter,First_Three_Letter,First_Four_Letter,Last_Letter,Last_Two_Letter,Last_Three_Letter,Last_Four_Letter,First_Letter_Type,Last_Letter_Type,Length,Second_Letter,Second_Letter_Type,Third_Letter,Third_Letter_Type,Fourth_Letter,Fourth_Letter_Type,Second_Last_Letter,Second_Last_Letter_Type,Third_Last_Letter,Third_Last_Letter_Type,Fourth_Last_Letter,Fourth_Last_Letter_Type
2209,Kostyukovichi,Kostyukovichians,ans,K,Ko,Kos,Kost,i,hi,chi,ichi,consanent,vowel,13,o,vowel,s,consanent,t,consanent,h,consanent,c,consanent,i,vowel
2210,Kostyukovka,Kostyukovkans,ns,K,Ko,Kos,Kost,a,ka,vka,ovka,consanent,vowel,11,o,vowel,s,consanent,t,consanent,k,consanent,v,consanent,o,vowel
2211,Koszalin,Koszalinians,ians,K,Ko,Kos,Kosz,n,in,lin,alin,consanent,consanent,8,o,vowel,s,consanent,z,consanent,i,vowel,l,consanent,a,vowel
2212,Kot Addu,Kot Addui,i,K,Ko,Kot,Kot ,u,du,ddu,Addu,consanent,vowel,8,o,vowel,t,consanent, ,consanent,d,consanent,d,consanent,A,vowel
2213,Kot Sarang,Kot Sarangi,i,K,Ko,Kot,Kot ,g,ng,ang,rang,consanent,consanent,10,o,vowel,t,consanent, ,consanent,n,consanent,a,vowel,r,consanent
2214,Kot Sultan,Kot Sultanis,is,K,Ko,Kot,Kot ,n,an,tan,ltan,consanent,consanent,10,o,vowel,t,consanent, ,consanent,a,vowel,t,consanent,l,consanent
2215,Kota Kinabalu,Kota Kinabaluans,ans,K,Ko,Kot,Kota,u,lu,alu,balu,consanent,vowel,13,o,vowel,t,consanent,a,vowel,l,consanent,a,vowel,b,consanent
2216,Kotayk,Kotayki,i,K,Ko,Kot,Kota,k,yk,ayk,tayk,consanent,consanent,6,o,vowel,t,consanent,a,vowel,y,consanent,a,vowel,t,consanent
2217,Kotka,Kotkalaiset,laiset,K,Ko,Kot,Kotk,a,ka,tka,otka,consanent,vowel,5,o,vowel,t,consanent,k,consanent,k,consanent,t,consanent,o,vowel
2218,Kotli Loharan,Kotli Loharani,i,K,Ko,Kot,Kotl,n,an,ran,aran,consanent,consanent,13,o,vowel,t,consanent,l,consanent,a,vowel,r,consanent,a,vowel
2219,Kotor,Kotori,i,K,Ko,Kot,Koto,r,or,tor,otor,consanent,consanent,5,o,vowel,t,consanent,o,vowel,o,vowel,t,consanent,o,vowel
2220,Koubia,Koubians,ns,K,Ko,Kou,Koub,a,ia,bia,ubia,consanent,vowel,6,o,vowel,u,vowel,b,consanent,i,vowel,b,consanent,u,vowel
2221,Koudougou,Koudougouais,ais,K,Ko,Kou,Koud,u,ou,gou,ugou,consanent,vowel,9,o,vowel,u,vowel,d,consanent,o,vowel,g,consanent,u,vowel
2222,Koue,Koueans,ans,K,Ko,Kou,Koue,e,ue,oue,Koue,consanent,vowel,4,o,vowel,u,vowel,e,vowel,u,vowel,o,vowel,K,consanent
2223,Kouffo,Kouffois,is,K,Ko,Kou,Kouf,o,fo,ffo,uffo,consanent,vowel,6,o,vowel,u,vowel,f,consanent,f,consanent,f,consanent,u,vowel
2224,Kouka,Koukais,is,K,Ko,Kou,Kouk,a,ka,uka,ouka,consanent,vowel,5,o,vowel,u,vowel,k,consanent,k,consanent,u,vowel,o,vowel
2225,Koulamoutou,Koulamoutouais,ais,K,Ko,Kou,Koul,u,ou,tou,utou,consanent,vowel,11,o,vowel,u,vowel,l,consanent,o,vowel,t,consanent,u,vowel
2226,Koupela,Koupelais,is,K,Ko,Kou,Koup,a,la,ela,pela,consanent,vowel,7,o,vowel,u,vowel,p,consanent,l,consanent,e,vowel,p,consanent
2227,Kouroussa,Kouroussans,ns,K,Ko,Kou,Kour,a,sa,ssa,ussa,consanent,vowel,9,o,vowel,u,vowel,r,consanent,s,consanent,s,consanent,u,vowel
2228,Kousseri,Kousseriens,ens,K,Ko,Kou,Kous,i,ri,eri,seri,consanent,vowel,8,o,vowel,u,vowel,s,consanent,r,consanent,e,vowel,s,consanent
2229,Koutiala,Koutialais,is,K,Ko,Kou,Kout,a,la,ala,iala,consanent,vowel,8,o,vowel,u,vowel,t,consanent,l,consanent,a,vowel,i,vowel
2230,Kouvola,Kouvolalaiset,laiset,K,Ko,Kou,Kouv,a,la,ola,vola,consanent,vowel,7,o,vowel,u,vowel,v,consanent,l,consanent,o,vowel,v,consanent
2231,Kouyape,Kouyapeens,ens,K,Ko,Kou,Kouy,e,pe,ape,yape,consanent,vowel,7,o,vowel,u,vowel,y,consanent,p,consanent,a,vowel,y,consanent
2232,Kovacica,Kovacicani,ni,K,Ko,Kov,Kova,a,ca,ica,cica,consanent,vowel,8,o,vowel,v,consanent,a,vowel,c,consanent,i,vowel,c,consanent
2233,Kpagouda,Kpagoudais,is,K,Kp,Kpa,Kpag,a,da,uda,ouda,consanent,vowel,8,p,consanent,a,vowel,g,consanent,d,consanent,u,vowel,o,vowel
2234,Kpalime,Kpalimeens,ens,K,Kp,Kpa,Kpal,e,me,ime,lime,consanent,vowel,7,p,consanent,a,vowel,l,consanent,m,consanent,i,vowel,l,consanent
2235,Kpandae,Kpandaens,ns,K,Kp,Kpa,Kpan,e,ae,dae,ndae,consanent,vowel,7,p,consanent,a,vowel,n,consanent,a,vowel,d,consanent,n,consanent
2236,Kpandu,Kpanduans,ans,K,Kp,Kpa,Kpan,u,du,ndu,andu,consanent,vowel,6,p,consanent,a,vowel,n,consanent,d,consanent,n,consanent,a,vowel
2237,Krabi,Krabians,ans,K,Kr,Kra,Krab,i,bi,abi,rabi,consanent,vowel,5,r,consanent,a,vowel,b,consanent,b,consanent,a,vowel,r,consanent
2238,Kramatorsk,Kramatorskians,ians,K,Kr,Kra,Kram,k,sk,rsk,orsk,consanent,consanent,10,r,consanent,a,vowel,m,consanent,s,consanent,r,consanent,o,vowel
2239,Kranj,Kranjcani,cani,K,Kr,Kra,Kran,j,nj,anj,ranj,consanent,consanent,5,r,consanent,a,vowel,n,consanent,n,consanent,a,vowel,r,consanent
2240,Kraslava,Kraslavans,ns,K,Kr,Kra,Kras,a,va,ava,lava,consanent,vowel,8,r,consanent,a,vowel,s,consanent,v,consanent,a,vowel,l,consanent
2241,Krasnaya Sloboda,Krasnaya Slobodans,ns,K,Kr,Kra,Kras,a,da,oda,boda,consanent,vowel,16,r,consanent,a,vowel,s,consanent,d,consanent,o,vowel,b,consanent
2242,Krasnodar,Krasnodarites,ites,K,Kr,Kra,Kras,r,ar,dar,odar,consanent,consanent,9,r,consanent,a,vowel,s,consanent,a,vowel,d,consanent,o,vowel
2243,Krasnodon,Krasnodonians,ians,K,Kr,Kra,Kras,n,on,don,odon,consanent,consanent,9,r,consanent,a,vowel,s,consanent,o,vowel,d,consanent,o,vowel
2244,Krasnoperekopsk,Krasnoperekopskans,ans,K,Kr,Kra,Kras,k,sk,psk,opsk,consanent,consanent,15,r,consanent,a,vowel,s,consanent,s,consanent,p,consanent,o,vowel
2245,Krasnoyarsk,Krasnoyarskans,ans,K,Kr,Kra,Kras,k,sk,rsk,arsk,consanent,consanent,11,r,consanent,a,vowel,s,consanent,s,consanent,r,consanent,a,vowel
2246,Krasnyi Luch,Krasnyi Luchans,ans,K,Kr,Kra,Kras,h,ch,uch,Luch,consanent,consanent,12,r,consanent,a,vowel,s,consanent,c,consanent,u,vowel,L,consanent
2247,Krasnyi Lyman,Krasnyi Lymanites,ites,K,Kr,Kra,Kras,n,an,man,yman,consanent,consanent,13,r,consanent,a,vowel,s,consanent,a,vowel,m,consanent,y,consanent
2248,Krefeld,Krefelders,ers,K,Kr,Kre,Kref,d,ld,eld,feld,consanent,consanent,7,r,consanent,e,vowel,f,consanent,l,consanent,e,vowel,f,consanent
2249,Kremenchuk,Kremenchukians,ians,K,Kr,Kre,Krem,k,uk,huk,chuk,consanent,consanent,10,r,consanent,e,vowel,m,consanent,u,vowel,h,consanent,c,consanent
2250,Kreuzlingen,Kreuzlingener,er,K,Kr,Kre,Kreu,n,en,gen,ngen,consanent,consanent,11,r,consanent,e,vowel,u,vowel,e,vowel,g,consanent,n,consanent
2251,Kribi,Kribiens,ens,K,Kr,Kri,Krib,i,bi,ibi,ribi,consanent,vowel,5,r,consanent,i,vowel,b,consanent,b,consanent,i,vowel,r,consanent
2252,Kriel,Krielers,ers,K,Kr,Kri,Krie,l,el,iel,riel,consanent,consanent,5,r,consanent,i,vowel,e,vowel,e,vowel,i,vowel,r,consanent
2253,Kriens,Kriensers,ers,K,Kr,Kri,Krie,s,ns,ens,iens,consanent,consanent,6,r,consanent,i,vowel,e,vowel,n,consanent,e,vowel,i,vowel
2254,Kristiansand,Kristiansanders,ers,K,Kr,Kri,Kris,d,nd,and,sand,consanent,consanent,12,r,consanent,i,vowel,s,consanent,n,consanent,a,vowel,s,consanent
2255,Kristianstad,Kristianstadsians,sians,K,Kr,Kri,Kris,d,ad,tad,stad,consanent,consanent,12,r,consanent,i,vowel,s,consanent,a,vowel,t,consanent,s,consanent
2256,Kristiansund,Kristiansundinger,inger,K,Kr,Kri,Kris,d,nd,und,sund,consanent,consanent,12,r,consanent,i,vowel,s,consanent,n,consanent,u,vowel,s,consanent
2257,Kristinehamn,Kristinehamnsians,sians,K,Kr,Kri,Kris,n,mn,amn,hamn,consanent,consanent,12,r,consanent,i,vowel,s,consanent,m,consanent,a,vowel,h,consanent
2258,Kroonstad,Kroonstaders,ers,K,Kr,Kro,Kroo,d,ad,tad,stad,consanent,consanent,9,r,consanent,o,vowel,o,vowel,a,vowel,t,consanent,s,consanent
2259,Kropyvnytskyi,Kropyvnytskyians,ans,K,Kr,Kro,Krop,i,yi,kyi,skyi,consanent,vowel,13,r,consanent,o,vowel,p,consanent,y,consanent,k,consanent,s,consanent
2260,Kruje,Krujes,s,K,Kr,Kru,Kruj,e,je,uje,ruje,consanent,vowel,5,r,consanent,u,vowel,j,consanent,j,consanent,u,vowel,r,consanent
2261,Krupanj,Krupanjci,ci,K,Kr,Kru,Krup,j,nj,anj,panj,consanent,consanent,7,r,consanent,u,vowel,p,consanent,n,consanent,a,vowel,p,consanent
2262,Krupki,Krupkians,ans,K,Kr,Kru,Krup,i,ki,pki,upki,consanent,vowel,6,r,consanent,u,vowel,p,consanent,k,consanent,p,consanent,u,vowel
2263,Krychaw,Krychawians,ians,K,Kr,Kry,Kryc,w,aw,haw,chaw,consanent,consanent,7,r,consanent,y,consanent,c,consanent,a,vowel,h,consanent,c,consanent
2264,Kryvyi Rih,Kryvyi Rihans,ans,K,Kr,Kry,Kryv,h,ih,Rih, Rih,consanent,consanent,10,r,consanent,y,consanent,v,consanent,i,vowel,R,consanent, ,consanent
2265,Ksar el Kebir,Ksar el Kebiris,is,K,Ks,Ksa,Ksar,r,ir,bir,ebir,consanent,consanent,13,s,consanent,a,vowel,r,consanent,i,vowel,b,consanent,e,vowel
2266,Kuala Lumpur,Kuala Lumpurites,ites,K,Ku,Kua,Kual,r,ur,pur,mpur,consanent,consanent,12,u,vowel,a,vowel,l,consanent,u,vowel,p,consanent,m,consanent
2267,Kuala Terengganu,Kuala Terengganuans,ans,K,Ku,Kua,Kual,u,nu,anu,ganu,consanent,vowel,16,u,vowel,a,vowel,l,consanent,n,consanent,a,vowel,g,consanent
2268,Kuantan,Kuantanese,ese,K,Ku,Kua,Kuan,n,an,tan,ntan,consanent,consanent,7,u,vowel,a,vowel,n,consanent,a,vowel,t,consanent,n,consanent
2269,Kuching,Kuchingites,ites,K,Ku,Kuc,Kuch,g,ng,ing,hing,consanent,consanent,7,u,vowel,c,consanent,h,consanent,n,consanent,i,vowel,h,consanent
2270,Kudahuvadhoo,Kudahuvadhooans,ans,K,Ku,Kud,Kuda,o,oo,hoo,dhoo,consanent,vowel,12,u,vowel,d,consanent,a,vowel,o,vowel,h,consanent,d,consanent
2271,Kudarikilu,Kudarikiluans,ans,K,Ku,Kud,Kuda,u,lu,ilu,kilu,consanent,vowel,10,u,vowel,d,consanent,a,vowel,l,consanent,i,vowel,k,consanent
2272,Kufa,Kufans,ns,K,Ku,Kuf,Kufa,a,fa,ufa,Kufa,consanent,vowel,4,u,vowel,f,consanent,a,vowel,f,consanent,u,vowel,K,consanent
2273,Kufra,Kufrans,ns,K,Ku,Kuf,Kufr,a,ra,fra,ufra,consanent,vowel,5,u,vowel,f,consanent,r,consanent,r,consanent,f,consanent,u,vowel
2274,Kufstein,Kufsteiners,ers,K,Ku,Kuf,Kufs,n,in,ein,tein,consanent,consanent,8,u,vowel,f,consanent,s,consanent,i,vowel,e,vowel,t,consanent
2275,Kukes,Kukesas,as,K,Ku,Kuk,Kuke,s,es,kes,ukes,consanent,consanent,5,u,vowel,k,consanent,e,vowel,e,vowel,k,consanent,u,vowel
2276,Kuldiga,Kuldigans,ns,K,Ku,Kul,Kuld,a,ga,iga,diga,consanent,vowel,7,u,vowel,l,consanent,d,consanent,g,consanent,i,vowel,d,consanent
2277,Kulhudhuffushi,Kulhudhuffushians,ans,K,Ku,Kul,Kulh,i,hi,shi,ushi,consanent,vowel,14,u,vowel,l,consanent,h,consanent,h,consanent,s,consanent,u,vowel
2278,Kulob,Kulobi,i,K,Ku,Kul,Kulo,b,ob,lob,ulob,consanent,consanent,5,u,vowel,l,consanent,o,vowel,o,vowel,l,consanent,u,vowel
2279,Kulyab,Kulyabi,i,K,Ku,Kul,Kuly,b,ab,yab,lyab,consanent,consanent,6,u,vowel,l,consanent,y,consanent,a,vowel,y,consanent,l,consanent
2280,Kumagaya,Kumagayans,ns,K,Ku,Kum,Kuma,a,ya,aya,gaya,consanent,vowel,8,u,vowel,m,consanent,a,vowel,y,consanent,a,vowel,g,consanent
2281,Kumamoto,Kumamotons,ns,K,Ku,Kum,Kuma,o,to,oto,moto,consanent,vowel,8,u,vowel,m,consanent,a,vowel,t,consanent,o,vowel,m,consanent
2282,Kumasi,Kumasiites,ites,K,Ku,Kum,Kuma,i,si,asi,masi,consanent,vowel,6,u,vowel,m,consanent,a,vowel,s,consanent,a,vowel,m,consanent
2283,Kumba,Kumbais,is,K,Ku,Kum,Kumb,a,ba,mba,umba,consanent,vowel,5,u,vowel,m,consanent,b,consanent,b,consanent,m,consanent,u,vowel
2284,Kumkurgan,Kumkurgani,i,K,Ku,Kum,Kumk,n,an,gan,rgan,consanent,consanent,9,u,vowel,m,consanent,k,consanent,a,vowel,g,consanent,r,consanent
2285,Kunar,Kunari,i,K,Ku,Kun,Kuna,r,ar,nar,unar,consanent,consanent,5,u,vowel,n,consanent,a,vowel,a,vowel,n,consanent,u,vowel
2286,Kunda,Kundalians,lians,K,Ku,Kun,Kund,a,da,nda,unda,consanent,vowel,5,u,vowel,n,consanent,d,consanent,d,consanent,n,consanent,u,vowel
2287,Kunduz,Kunduzi,i,K,Ku,Kun,Kund,z,uz,duz,nduz,consanent,consanent,6,u,vowel,n,consanent,d,consanent,u,vowel,d,consanent,n,consanent
2288,Kungalv,Kungalvsians,sians,K,Ku,Kun,Kung,v,lv,alv,galv,consanent,consanent,7,u,vowel,n,consanent,g,consanent,l,consanent,a,vowel,g,consanent
2289,Kunming,Kunmingese,ese,K,Ku,Kun,Kunm,g,ng,ing,ming,consanent,consanent,7,u,vowel,n,consanent,m,consanent,n,consanent,i,vowel,m,consanent
2290,Kunszentmiklos,Kunszentmiklosi,i,K,Ku,Kun,Kuns,s,os,los,klos,consanent,consanent,14,u,vowel,n,consanent,s,consanent,o,vowel,l,consanent,k,consanent
2291,Kupang,Kupangers,ers,K,Ku,Kup,Kupa,g,ng,ang,pang,consanent,consanent,6,u,vowel,p,consanent,a,vowel,n,consanent,a,vowel,p,consanent
2292,Kupiansk,Kupianskans,ans,K,Ku,Kup,Kupi,k,sk,nsk,ansk,consanent,consanent,8,u,vowel,p,consanent,i,vowel,s,consanent,n,consanent,a,vowel
2293,Kupres,Kupresani,ani,K,Ku,Kup,Kupr,s,es,res,pres,consanent,consanent,6,u,vowel,p,consanent,r,consanent,e,vowel,r,consanent,p,consanent
2294,Kurashiki,Kurashikians,ans,K,Ku,Kur,Kura,i,ki,iki,hiki,consanent,vowel,9,u,vowel,r,consanent,a,vowel,k,consanent,i,vowel,h,consanent
2295,Kurbin,Kurbinas,as,K,Ku,Kur,Kurb,n,in,bin,rbin,consanent,consanent,6,u,vowel,r,consanent,b,consanent,i,vowel,b,consanent,r,consanent
2296,Kurdamir,Kurdamirians,ians,K,Ku,Kur,Kurd,r,ir,mir,amir,consanent,consanent,8,u,vowel,r,consanent,d,consanent,i,vowel,m,consanent,a,vowel
2297,Kurdzhali,Kurdzhalians,ans,K,Ku,Kur,Kurd,i,li,ali,hali,consanent,vowel,9,u,vowel,r,consanent,d,consanent,l,consanent,a,vowel,h,consanent
2298,Kure,Kureans,ans,K,Ku,Kur,Kure,e,re,ure,Kure,consanent,vowel,4,u,vowel,r,consanent,e,vowel,r,consanent,u,vowel,K,consanent
2299,Kuressaare,Kuressaareans,ans,K,Ku,Kur,Kure,e,re,are,aare,consanent,vowel,10,u,vowel,r,consanent,e,vowel,r,consanent,a,vowel,a,vowel
2300,Kurigram,Kurigrami,i,K,Ku,Kur,Kuri,m,am,ram,gram,consanent,consanent,8,u,vowel,r,consanent,i,vowel,a,vowel,r,consanent,g,consanent
2301,Kurnool,Kurnoolite,ite,K,Ku,Kur,Kurn,l,ol,ool,nool,consanent,consanent,7,u,vowel,r,consanent,n,consanent,o,vowel,o,vowel,n,consanent
2302,Kursk,Kurskans,ans,K,Ku,Kur,Kurs,k,sk,rsk,ursk,consanent,consanent,5,u,vowel,r,consanent,s,consanent,s,consanent,r,consanent,u,vowel
2303,Kurume,Kurumens,ns,K,Ku,Kur,Kuru,e,me,ume,rume,consanent,vowel,6,u,vowel,r,consanent,u,vowel,m,consanent,u,vowel,r,consanent
2304,Kurunegala,Kurunegalans,ns,K,Ku,Kur,Kuru,a,la,ala,gala,consanent,vowel,10,u,vowel,r,consanent,u,vowel,l,consanent,a,vowel,g,consanent
2305,Kushiro,Kushirons,ns,K,Ku,Kus,Kush,o,ro,iro,hiro,consanent,vowel,7,u,vowel,s,consanent,h,consanent,r,consanent,i,vowel,h,consanent
2306,Kushtia,Kushtian,n,K,Ku,Kus,Kush,a,ia,tia,htia,consanent,vowel,7,u,vowel,s,consanent,h,consanent,i,vowel,t,consanent,h,consanent
2307,Kusnacht,Kusnachter,er,K,Ku,Kus,Kusn,t,ht,cht,acht,consanent,consanent,8,u,vowel,s,consanent,n,consanent,h,consanent,c,consanent,a,vowel
2308,Kusong,Kusongites,ites,K,Ku,Kus,Kuso,g,ng,ong,song,consanent,consanent,6,u,vowel,s,consanent,o,vowel,n,consanent,o,vowel,s,consanent
2309,Kussnacht,Kussnachters,ers,K,Ku,Kus,Kuss,t,ht,cht,acht,consanent,consanent,9,u,vowel,s,consanent,s,consanent,h,consanent,c,consanent,a,vowel
2310,Kut,Kuts,s,K,Ku,Kut,Kut,t,ut,Kut,t,consanent,consanent,3,u,vowel,t,consanent,,,u,vowel,K,consanent,,
2311,Kutahya,Kutahyali,li,K,Ku,Kut,Kuta,a,ya,hya,ahya,consanent,vowel,7,u,vowel,t,consanent,a,vowel,y,consanent,h,consanent,a,vowel
2312,Kuwait,Kuwaitis,is,K,Ku,Kuw,Kuwa,t,it,ait,wait,consanent,consanent,6,u,vowel,w,consanent,a,vowel,i,vowel,a,vowel,w,consanent
2313,Kvemo Kartli,Kvemo Kartlians,ans,K,Kv,Kve,Kvem,i,li,tli,rtli,consanent,vowel,12,v,consanent,e,vowel,m,consanent,l,consanent,t,consanent,r,consanent
2314,Kyiv,Kyivans,ans,K,Ky,Kyi,Kyiv,v,iv,yiv,Kyiv,consanent,consanent,4,y,consanent,i,vowel,v,consanent,i,vowel,y,consanent,K,consanent
2315,Kymi,Kymians,ans,K,Ky,Kym,Kymi,i,mi,ymi,Kymi,consanent,vowel,4,y,consanent,m,consanent,i,vowel,m,consanent,y,consanent,K,consanent
2316,Kyoto,Kyotoites,ites,K,Ky,Kyo,Kyot,o,to,oto,yoto,consanent,vowel,5,y,consanent,o,vowel,t,consanent,t,consanent,o,vowel,y,consanent
2317,Kyrenia,Kyrenians,ns,K,Ky,Kyr,Kyre,a,ia,nia,enia,consanent,vowel,7,y,consanent,r,consanent,e,vowel,i,vowel,n,consanent,e,vowel
2318,Kysucke Nove Mesto,Kysucke Nove Mestoans,ans,K,Ky,Kys,Kysu,o,to,sto,esto,consanent,vowel,18,y,consanent,s,consanent,u,vowel,t,consanent,s,consanent,e,vowel
2319,Kyustendil,Kyustendilians,ians,K,Ky,Kyu,Kyus,l,il,dil,ndil,consanent,consanent,10,y,consanent,u,vowel,s,consanent,i,vowel,d,consanent,n,consanent
2320,Kyzart,Kyzartans,ans,K,Ky,Kyz,Kyza,t,rt,art,zart,consanent,consanent,6,y,consanent,z,consanent,a,vowel,r,consanent,a,vowel,z,consanent
2321,Kyzyl-Kiya,Kyzyl-Kiyans,ns,K,Ky,Kyz,Kyzy,a,ya,iya,Kiya,consanent,vowel,10,y,consanent,z,consanent,y,consanent,y,consanent,i,vowel,K,consanent
2322,Kyzylorda,Kyzylordans,ns,K,Ky,Kyz,Kyzy,a,da,rda,orda,consanent,vowel,9,y,consanent,z,consanent,y,consanent,d,consanent,r,consanent,o,vowel
2323,Kyzyl-Suu,Kyzyl-Suuans,ans,K,Ky,Kyz,Kyzy,u,uu,Suu,-Suu,consanent,vowel,9,y,consanent,z,consanent,y,consanent,u,vowel,S,consanent,-,consanent
2324,Labe,Labeans,ans,L,La,Lab,Labe,e,be,abe,Labe,consanent,vowel,4,a,vowel,b,consanent,e,vowel,b,consanent,a,vowel,L,consanent
2325,Laborie,Laboriens,ns,L,La,Lab,Labo,e,ie,rie,orie,consanent,vowel,7,a,vowel,b,consanent,o,vowel,i,vowel,r,consanent,o,vowel
2326,Lacin,Lacinlilar,lilar,L,La,Lac,Laci,n,in,cin,acin,consanent,consanent,5,a,vowel,c,consanent,i,vowel,i,vowel,c,consanent,a,vowel
2327,Laeso,Laesoers,ers,L,La,Lae,Laes,o,so,eso,aeso,consanent,vowel,5,a,vowel,e,vowel,s,consanent,s,consanent,e,vowel,a,vowel
2328,Lafia,Lafiaans,ans,L,La,Laf,Lafi,a,ia,fia,afia,consanent,vowel,5,a,vowel,f,consanent,i,vowel,i,vowel,f,consanent,a,vowel
2329,Laghman,Laghmani,i,L,La,Lag,Lagh,n,an,man,hman,consanent,consanent,7,a,vowel,g,consanent,h,consanent,a,vowel,m,consanent,h,consanent
2330,Laghouat,Laghouatis,is,L,La,Lag,Lagh,t,at,uat,ouat,consanent,consanent,8,a,vowel,g,consanent,h,consanent,a,vowel,u,vowel,o,vowel
2331,Lagos,Lagosians,ians,L,La,Lag,Lago,s,os,gos,agos,consanent,consanent,5,a,vowel,g,consanent,o,vowel,o,vowel,g,consanent,a,vowel
2332,LaGrange,LaGrangers,rs,L,La,LaG,LaGr,e,ge,nge,ange,consanent,vowel,8,a,vowel,G,consanent,r,consanent,g,consanent,n,consanent,a,vowel
2333,Laiwu,Laiwuer,er,L,La,Lai,Laiw,u,wu,iwu,aiwu,consanent,vowel,5,a,vowel,i,vowel,w,consanent,w,consanent,i,vowel,a,vowel
2334,Lakki Marwat,Lakki Marwati,i,L,La,Lak,Lakk,t,at,wat,rwat,consanent,consanent,12,a,vowel,k,consanent,k,consanent,a,vowel,w,consanent,r,consanent
2335,Lalmonirhat,Lalmonirhati,i,L,La,Lal,Lalm,t,at,hat,rhat,consanent,consanent,11,a,vowel,l,consanent,m,consanent,a,vowel,h,consanent,r,consanent
2336,Lambare,Lambarenos,nos,L,La,Lam,Lamb,e,re,are,bare,consanent,vowel,7,a,vowel,m,consanent,b,consanent,r,consanent,a,vowel,b,consanent
2337,Lambarene,Lambareneens,ens,L,La,Lam,Lamb,e,ne,ene,rene,consanent,vowel,9,a,vowel,m,consanent,b,consanent,n,consanent,e,vowel,r,consanent
2338,Lampang,Lampangians,ians,L,La,Lam,Lamp,g,ng,ang,pang,consanent,consanent,7,a,vowel,m,consanent,p,consanent,n,consanent,a,vowel,p,consanent
2339,Lamphun,Lamphunians,ians,L,La,Lam,Lamp,n,un,hun,phun,consanent,consanent,7,a,vowel,m,consanent,p,consanent,u,vowel,h,consanent,p,consanent
2340,Lamu,Lamuans,ans,L,La,Lam,Lamu,u,mu,amu,Lamu,consanent,vowel,4,a,vowel,m,consanent,u,vowel,m,consanent,a,vowel,L,consanent
2341,Landshut,Landshuters,ers,L,La,Lan,Land,t,ut,hut,shut,consanent,consanent,8,a,vowel,n,consanent,d,consanent,u,vowel,h,consanent,s,consanent
2342,Landskrona,Landskronans,ns,L,La,Lan,Land,a,na,ona,rona,consanent,vowel,10,a,vowel,n,consanent,d,consanent,n,consanent,o,vowel,r,consanent
2343,Lang Son,Lang Soners,ers,L,La,Lan,Lang,n,on,Son, Son,consanent,consanent,8,a,vowel,n,consanent,g,consanent,o,vowel,S,consanent, ,consanent
2344,Lankaran,Lankarani,i,L,La,Lan,Lank,n,an,ran,aran,consanent,consanent,8,a,vowel,n,consanent,k,consanent,a,vowel,r,consanent,a,vowel
2345,Lanzhou,Lanzhouer,er,L,La,Lan,Lanz,u,ou,hou,zhou,consanent,vowel,7,a,vowel,n,consanent,z,consanent,o,vowel,h,consanent,z,consanent
2346,Lao Cai,Lao Caians,ans,L,La,Lao,Lao ,i,ai,Cai, Cai,consanent,vowel,7,a,vowel,o,vowel, ,consanent,a,vowel,C,consanent, ,consanent
2347,Lappeenranta,Lappeenrantalaiset,laiset,L,La,Lap,Lapp,a,ta,nta,anta,consanent,vowel,12,a,vowel,p,consanent,p,consanent,t,consanent,n,consanent,a,vowel
2348,Larache,Laracheans,ans,L,La,Lar,Lara,e,he,che,ache,consanent,vowel,7,a,vowel,r,consanent,a,vowel,h,consanent,c,consanent,a,vowel
2349,Laredo,Laredoans,ans,L,La,Lar,Lare,o,do,edo,redo,consanent,vowel,6,a,vowel,r,consanent,e,vowel,d,consanent,e,vowel,r,consanent
2350,Larnaca,Larnacans,ns,L,La,Lar,Larn,a,ca,aca,naca,consanent,vowel,7,a,vowel,r,consanent,n,consanent,c,consanent,a,vowel,n,consanent
2351,Larvik,Larvikinger,inger,L,La,Lar,Larv,k,ik,vik,rvik,consanent,consanent,6,a,vowel,r,consanent,v,consanent,i,vowel,v,consanent,r,consanent
2352,Lashkar Gah,Lashkar Gahi,i,L,La,Las,Lash,h,ah,Gah, Gah,consanent,consanent,11,a,vowel,s,consanent,h,consanent,a,vowel,G,consanent, ,consanent
2353,Latacunga,Latacunganos,nos,L,La,Lat,Lata,a,ga,nga,unga,consanent,vowel,9,a,vowel,t,consanent,a,vowel,g,consanent,n,consanent,u,vowel
2354,Latakia,Latakians,ns,L,La,Lat,Lata,a,ia,kia,akia,consanent,vowel,7,a,vowel,t,consanent,a,vowel,i,vowel,k,consanent,a,vowel
2355,Lautem,Lautemans,ans,L,La,Lau,Laut,m,em,tem,utem,consanent,consanent,6,a,vowel,u,vowel,t,consanent,e,vowel,t,consanent,u,vowel
2356,Lavalleja,Lavallejanos,nos,L,La,Lav,Lava,a,ja,eja,leja,consanent,vowel,9,a,vowel,v,consanent,a,vowel,j,consanent,e,vowel,l,consanent
2357,Laxmipur,Laxmipuri,i,L,La,Lax,Laxm,r,ur,pur,ipur,consanent,consanent,8,a,vowel,x,consanent,m,consanent,u,vowel,p,consanent,i,vowel
2358,Layou,Layouans,ans,L,La,Lay,Layo,u,ou,you,ayou,consanent,vowel,5,a,vowel,y,consanent,o,vowel,o,vowel,y,consanent,a,vowel
